EasyCap,Mobita,Corr_Cz_E,Corr_Cz_M,Err_Cz_E,Err_Cz_M
2,pilot01,1.156449,2.290223,1.531228,1.133703
11,pilot05,-1.928961,-1.372887,-3.864019,-1.544586
17,pilot03,3.067537,2.842061,-2.525872,3.361193
19,pilot09,1.148401,0.377268,2.49421,-7.353307
20,pilot08,3.090398,0.426177,-8.546865,-1.977174
21,pilot04,2.767817,3.234545,0.082168,2.135957
24,pilot07,0.446025,0.833563,0.317278,6.519652
25,pilot06,1.292385,0.548682,2.0121,3.624293
32,pilot10,4.665406,2.839784,1.364158,1.925259
43,pilot02,4.752335,2.226719,-1.699192,1.332106
