Pt,EasyCap,Mobita,Fp1_E,Fp2_E,F7_E,F3_E,Fz_E,F4_E,F8_E,FC5_E,FC1_E,FC2_E,FC6_E,T7_E,C3_E,Cz_E,C4_E,T8_E,CP5_E,CP1_E,CP2_E,CP6_E,P7_E,P3_E,Pz_E,P4_E,P8_E,POz_E,O1_E,O2_E,Fp1_M,Fp2_M,F7_M,F3_M,Fz_M,F4_M,F8_M,FC5_M,FC1_M,FC2_M,FC6_M,T7_M,C3_M,Cz_M,C4_M,T8_M,CP5_M,CP1_M,CP2_M,CP6_M,P7_M,P3_M,Pz_M,P4_M,P8_M,POz_M,O1_M,O2_M
1,2,Pilot01,0.156602,0.109664,0.165065,0.042746,0.073691,0.109496,0.137087,0.098218,0.045311,0.079331,0.130496,0.113337,0.049014,0.192804,0.126803,0.149577,0.082861,0.073966,0.059538,0.075902,0.153933,0.05234,0.077975,0.061858,0.05539,0.075761,0.139693,0.124541,0.176537,0.136432,0.098196,0.103766,0.065293,0.066193,0.1019,0.068661,0.059468,0.077876,0.057035,0.095165,0.05048,0.066442,0.08858,0.047422,0.016163,0.041548,0.023218,0.100734,0.166143,0.081254,0.080949,0.053893,0.14534,0.131213,0.286952,0.505421
2,11,Piloto5,0.376789,0.621283,0.373644,0.222474,0.237844,0.226626,0.372791,0.255989,0.30025,0.254283,0.309268,0.375143,0.245567,0.296405,0.203382,0.486327,0.2466,0.253326,0.185098,0.204281,0.550256,0.384022,0.520481,0.286224,0.643019,1.353389,1.118169,1.115347,1.804727,9.19778,0.209071,0.583599,0.587522,0.749119,1.130936,0.620138,0.779208,0.562382,1.047879,1.02326,0.439509,0.506554,0.433492,2.419199,0.523331,0.518511,0.341724,0.727741,0.95978,0.662695,2.016758,0.977103,5.158468,2.618195,1.618816,3.18082
3,17,Pilot03,0.591086,0.532894,0.802438,0.614762,0.584787,0.530994,0.571016,0.528293,0.501874,0.442465,0.449303,0.697082,0.47412,0.374346,0.583041,0.652741,0.477994,0.368254,0.553759,0.688365,0.981298,0.542682,1.025875,1.128765,1.773699,2.071273,1.942356,2.79921,0.272877,0.26029,0.591475,0.48993,0.503481,0.424765,0.347055,0.405055,0.487317,0.474273,0.381977,0.680529,0.581967,0.465501,0.646304,0.71106,0.501013,0.78221,0.585544,0.516176,1.144144,0.60919,1.165645,0.945299,1.309241,1.592391,0.941937,0.96585
4,19,Pilot09,0.711985,0.940935,0.910632,0.317567,0.887342,0.502513,0.570021,0.270076,0.246608,0.437889,0.301367,0.482583,0.185317,0.402108,0.182734,0.371732,0.269576,0.258377,0.24744,0.213205,0.755727,0.55896,0.635481,0.379943,0.994336,1.343762,1.458871,1.140823,1.113323,0.936458,0.826249,0.483302,0.360014,0.3651,0.574246,0.531977,0.468945,0.534439,0.462387,0.856596,0.482859,0.551868,0.485682,0.745857,0.674895,0.547503,0.56496,0.612072,6.343819,0.434872,0.765981,0.627536,1.000882,1.330627,0.752948,0.714219
5,20,Pilot08,0.409897,0.462483,0.119773,0.042931,0.074278,0.049895,0.14162,0.058005,0.104079,0.085811,0.053409,0.083426,0.105622,0.115398,0.030924,0.114821,0.072515,0.08345,0.043454,0.03566,0.096604,0.089719,0.096053,0.050415,0.124566,0.099201,0.137502,0.09285,3.684531,4.328933,0.158568,0.110855,0.104372,0.165261,0.73987,0.080984,0.201469,0.085974,0.093506,0.252093,0.088578,0.197958,0.094471,0.054998,0.179743,0.105006,0.083651,0.123811,0.372435,0.13913,0.093413,0.144208,0.272102,0.186938,0.423976,0.392099
6,21,Pilot04,0.723046,0.800914,0.304434,0.208892,0.276121,0.308588,0.298649,0.201129,0.144636,0.188771,0.193919,0.251554,0.108573,0.125581,0.1369,0.175561,0.22058,0.142414,0.145923,0.147906,0.384457,0.294726,0.298203,0.288064,0.299909,0.514085,0.488891,0.453887,0.562948,0.608598,1.657399,2.257143,2.556533,2.103483,0.841671,0.382796,4.233886,1.546662,0.324789,0.565339,0.32381,0.487813,0.37266,0.770009,0.467858,1.003229,1.052481,0.645163,0.59463,0.745927,0.69625,0.994133,0.822551,0.815965,0.890433,0.962057
7,24,Pilot07,1.235884,0.794013,0.381143,0.117944,0.426083,0.190365,0.470651,0.206901,0.782056,0.805022,0.321687,0.653078,0.467105,1.640127,0.331473,0.698777,0.323824,1.239546,1.244019,0.449723,0.947763,0.373872,0.95586,0.504771,1.412589,0.743696,1.185422,1.226704,0.462323,0.185469,0.533984,0.890349,0.904865,0.801041,0.398066,0.623482,1.264635,1.226786,1.41608,1.24304,0.500082,2.322277,0.225717,0.837443,0.57494,1.736092,0.627141,0.524376,1.251305,0.667033,0.78565,0.727934,1.916242,0.771855,2.162305,3.639994
8,25,Pilot06,0.888101,0.889973,0.456209,0.222891,0.279194,0.448533,0.307223,0.175668,0.122755,0.224117,0.18638,0.47886,0.107929,0.187362,0.204686,0.256586,0.246223,0.084127,0.146848,0.302639,0.627578,0.219995,0.198627,0.305373,1.672054,0.539431,0.943851,0.936917,1.822923,2.468417,0.314431,0.558079,0.116669,0.194462,0.746204,0.71964,0.186513,0.620831,0.122827,0.550815,1.963094,0.475028,0.679242,0.533052,0.959985,0.10676,0.172338,0.098471,0.692544,0.447051,0.256439,0.207221,0.269229,0.16937,0.333533,0.412522
9,32,Pliot10,0.735199,1.026162,0.348028,0.332571,0.465045,0.448451,0.636601,0.503743,0.44889,0.598996,0.642746,1.242428,0.587801,0.716253,0.637463,1.023469,0.82907,0.472448,0.474468,0.631707,1.736949,0.681665,0.302312,0.524034,2.171498,0.148683,0.782193,0.538177,0.590989,1.007054,1.628756,0.830883,0.677068,0.826324,1.183766,0.651495,0.767115,0.542466,0.642693,1.324685,0.540918,0.718569,0.59972,1.374688,0.693887,0.818986,0.787077,0.90699,1.873533,1.031739,1.207885,1.079531,1.764735,0.917097,0.734369,0.928063
10,43,Pilot02,0.357807,0.176509,0.105938,0.095607,0.205145,0.147474,0.176713,0.186318,0.213087,0.318377,0.182393,0.28629,0.153587,0.432749,0.181162,0.334953,0.175553,0.23086,0.27653,0.127824,0.457037,0.241804,0.28562,0.19952,0.392949,0.603857,0.364889,0.37388,1.236383,0.98874,0.227028,0.079013,0.057836,0.113021,0.29998,0.172518,0.070596,0.064209,0.185603,0.472206,0.157256,0.070839,0.32117,0.478246,0.227167,0.083961,0.1579,0.372647,0.69508,0.155886,0.192638,0.182546,0.418344,0.212776,0.468901,0.063807
