EasyCap,Mobita,Time_E,Amp_E,Time_M,Amp_M
2,pilot01,341.79688,2.617884,318.35938,0.916402
11,pilot05,328.125,4.173326,306.64063,4.571479
17,pilot03,378.90625,4.969589,378.90625,7.849733
19,pilot09,318.35938,3.699377,378.90625,3.812852
20,pilot08,326.17188,1.467303,287.10938,2.226146
21,pilot04,378.90625,2.511375,378.90625,-2.358032
24,pilot07,361.32813,-0.333192,279.29688,2.752365
25,pilot06,349.60938,-0.051416,369.14063,-0.628448
32,pilot10,265.625,2.567958,337.89063,5.58885
43,pilot02,365.23438,2.296044,347.65625,1.894732
