channels,pt02,pt11,pt17,pt19,pt20,pt21,pt24,pt25,pt32,pt43
Fp1     ,0.02607184,0.10586477,0.21560138,0.11030339,0.04280154,0.01830272,0.03164032,0.0370948,0.11043108,0.07826627
Fp2     ,0.1231912,0.06575609,0.10511809,0.11812758,0.05853647,0.00838923,0.0235193,0.05976394,0.05619992,0.04408352
F7      ,0.22250438,0.01496778,0.10772167,0.02967124,0.02352814,0.01907355,0.0216651,0.02701451,0.05460467,0.18814412
F3      ,0.06641146,0.0405232,0.06714792,0.0205094,0.05003793,0.02317597,0.00873315,0.01899684,0.02449446,0.08687456
Fz      ,0.04469612,0.03141563,0.08481864,0.01368297,0.09389992,0.03507244,0.01604849,0.0267211,0.03472039,0.15276665
F4      ,0.25787348,0.05197749,0.04131048,0.02345549,0.04527504,0.00203102,0.01254377,0.02157073,0.01701211,0.27389738
F8      ,0.00789461,0.01677246,0.08008175,0.01876565,0.04787049,0.01045324,0.00499001,0.0257948,0.00693988,0.04549187
FC5     ,0.01286633,0.01616842,0.08569586,0.01322119,0.04705091,0.01043774,0.00822126,0.01509047,0.00514502,0.09708456
FC1     ,0.02871399,0.05035899,0.19057762,0.03833426,0.08614739,0.0091597,0.05391417,0.03462575,0.03575177,0.19745437
FC2     ,0.11220442,0.03786405,0.20251229,0.02933113,0.06540871,0.01148471,0.00540259,0.03277944,0.03365201,0.12658531
FC6     ,0.21715815,0.02489811,0.16241358,0.01278382,0.02678755,0.00880921,0.02376603,0.02804413,0.00312076,0.1265585
T7      ,0.03614324,0.04578872,0.09136643,0.00731934,0.01797669,0.02189859,0.04752869,0.02486311,0.00546305,0.10526231
C3      ,0.0301481,0.01857568,0.32647033,0.01785279,0.0928233,0.01005235,0.01411204,0.01318674,0.05620921,0.01930795
Cz      ,0.26064025,0.03878921,0.21910516,0.07672589,0.0294619,0.04937822,0.05160252,0.03281994,0.05222559,0.22205287
C4      ,0.01016148,0.01837251,0.31416419,0.08134014,0.0219916,0.02650785,0.101201,0.03169357,0.01373616,0.14949913
T8      ,0.0314038,0.05092098,0.00942608,0.00753454,0.01306821,0.00659441,0.00651637,0.02448275,0.00608332,0.05341211
CP5     ,0.05091648,0.01264809,0.01932788,0.00820705,0.08379351,0.00693092,0.00361067,0.02431683,0.01228606,0.04351782
CP1     ,0.14867814,0.04440486,0.32062624,0.04202841,0.07305111,0.05337575,0.07862205,0.02474543,0.07097552,0.20495553
CP2     ,0.09626947,0.02109915,0.20805972,0.16466643,0.03078358,0.08969123,0.01734737,0.04377979,0.06444092,0.22645057
CP6     ,0.01508116,0.02636599,0.11117212,0.05874733,0.03203698,0.03345193,0.05360246,0.03929155,0.04184815,0.02133836
P7      ,0.04978797,0.08112013,0.08430152,0.03555602,0.11910042,0.04299306,0.03140916,0.05734504,0.02188144,0.07404086
P3      ,0.11303627,0.09761169,0.09000553,0.0292081,0.04732833,0.04375996,0.02114329,0.02991441,0.07730495,0.14907008
Pz      ,0.11859013,0.07587808,0.13192721,0.14229859,0.07608283,0.10253516,0.01944065,0.02310155,0.09474126,0.10634674
P4      ,0.01627529,0.06080127,0.21180114,0.10673734,0.09477022,0.06583775,0.07142617,0.02994727,0.03873539,0.08270615
P8      ,0.03018206,0.08373677,0.16395698,0.04390692,0.17152446,0.01551974,0.0351711,0.11079977,0.10699814,0.06649679
POz     ,0.08674136,0.11335172,0.09039973,0.05555349,0.08631528,0.03398926,0.01408137,0.02723431,0.06469046,0.04261832
O1      ,0.04765689,0.0935831,0.13554415,0.04160577,0.04252741,0.01785659,0.0277142,0.04868557,0.08480971,0.37309533
O2      ,0.10806092,0.09639949,0.13887213,0.02797081,0.12035726,0.02154025,0.03826108,0.03145688,0.09596192,0.37866395
