channels,pilot01,pilot05,pilot03,pilot09,pilot08,pilot04,pilot07,pilot06,pilot10,pilot02
Fp1     ,0.00680734,0.0096648,0.25261776,0.00957036,0.01532225,0.00919601,0.02363887,0.01427715,0.02955684,0.08088344
Fp2     ,0.00924682,0.01790959,0.19289218,0.00430907,0.02780302,0.0031943,0.07906732,0.01500652,0.00888765,0.07469393
F7      ,0.03339267,0.00318542,0.12120605,0.001885,0.0297463,0.01666768,0.01008168,0.01995959,0.03076922,0.02573751
F3      ,0.0342628,0.01314686,0.04095293,0.00627152,0.03415536,0.03115671,0.00059279,0.00674112,0.01910775,0.05523432
Fz      ,0.05176222,0.02362133,0.05166567,0.01223832,0.05051171,0.0725625,0.04893034,0.00794742,0.05727883,0.01625196
F4      ,0.08151343,0.01227533,0.05476533,0.00360413,0.02150595,0.02951931,0.01079204,0.00693386,0.02419289,0.06362323
F8      ,0.04369322,0.00628374,0.13324386,0.00879576,0.01560212,0.00760796,0.00246207,0.00970688,0.04433477,0.01826027
FC5     ,0.02012646,0.00776848,0.07425014,0.00603606,0.0327574,0.01504984,0.00149124,0.00246113,0.0109012,0.03484208
FC1     ,0.07162591,0.00672333,0.1173963,0.0202706,0.02353266,0.05945987,0.10612671,0.029847,0.0053838,0.00811348
FC2     ,0.06103445,0.01955107,0.21502982,0.01177665,0.03134516,0.02888526,0.02376243,0.00388812,0.02868204,0.03466088
FC6     ,0.03748509,0.01582956,0.050292,0.00529372,0.02114476,0.01409025,0.00327672,0.01013335,0.03973349,0.04005057
T7/T3   ,0.00421563,0.00743003,0.17918433,0.01036759,0.00617757,0.0515825,0.01794937,0.00648127,0.00221455,0.07071664
C3      ,0.04025976,0.01269156,0.05323226,0.01643408,0.02081432,0.03488703,0.10536309,0.12673355,0.03945637,0.01720815
Cz      ,0.06749665,0.03626724,0.19835716,0.02908121,0.00659292,0.02594284,0.12484198,0.00962126,0.06413134,0.02847382
C4      ,0.00294552,0.00892328,0.07483139,0.01759268,0.01090616,0.02266034,0.1492885,0.00349703,0.01785411,0.03699095
T8/T4   ,0.02507882,0.00398913,0.02178781,0.00370767,0.02373127,0.02761075,0.0034508,0.00589986,0.05869485,0.03224429
CP5     ,0.02073086,0.00266168,0.03225867,0.00214353,0.00366319,0.01317071,0.00087023,0.00540198,0.01044839,0.07913489
CP1     ,0.10355128,0.01596732,0.06465259,0.00544781,0.01270465,0.05921536,0.03376454,0.02456701,0.1395872,0.03091176
CP2     ,0.06623285,0.0174954,0.47568834,0.03011784,0.02331091,0.0692388,0.07130047,0.01633221,0.06906544,0.05729499
CP6     ,0.00966797,0.01300453,0.04961524,0.00596545,0.03182539,0.04731085,0.00304847,0.01797389,0.00346922,0.0105495
P7/T5   ,0.0345635,0.02305946,0.05354858,0.00603208,0.02849003,0.01231759,0.02496378,0.01261658,0.0112059,0.15196214
P3      ,0.02070068,0.01760514,0.05082719,0.00512662,0.04081664,0.04933013,0.00266087,0.01405958,0.08749569,0.07857745
Pz      ,0.02982344,0.03001681,0.22633723,0.04431115,0.02992573,0.00631163,0.01219856,0.01229971,0.04746272,0.0418343
P4      ,0.01252689,0.01542698,0.14404856,0.00475563,0.08238001,0.05551363,0.02807414,0.01494824,0.06840594,0.01245052
P8/T6   ,0.02482196,0.00388274,0.0407465,0.00698912,0.08746719,0.02370018,0.07776154,0.05623663,0.03502321,0.03304013
POz     ,0.00984624,0.02788459,0.05690456,0.00201767,0.06949955,0.03000499,0.0285429,0.01346837,0.01139234,0.05126958
O1      ,0.03846313,0.02249888,0.26715104,0.0135925,0.07683353,0.00992656,0.06911495,0.02125631,0.05503866,0.06993058
O2      ,0.04676788,0.00487089,0.21063838,0.00804676,0.1009068,0.001196,0.08362413,0.01146604,0.00970538,0.05863526
